代码,名称,交易日期,前收盘价,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅(%),已计息天数,应计利息,剩余期限(年),当期收益率(%),纯债到期收益率(%),纯债价值,纯债溢价,纯债溢价率(%),转股价格,转股比例,转换价值,转股溢价,转股溢价率(%),转股市盈率,转股市净率,套利空间,平价/底价,期限(年),发行日期,票面利率/发行参考利率(%),交易市场,债券类型
123029.SZ,英科转债,2020-07-28,944.5,956.991,1074,951.001,1074,129.5,13.71095817893065,348,0.475342465753,5.051912568306011,0.04655493482309125,-33.8919,112.06394338,961.93605662,858.3814094049418,16.11,6.207324643078833,1033.147113594041,40.85288640595903,3.954217736121125,71.4574,19.445,-40.85288640595903,921.9264309580117,6,2019-08-16,0.5,深交所,可转债
113580.SH,康隆转债,2020-07-28,127.43,127.43,146.9,127.01,144.89,17.46,13.7016401161422,97,0.106301369863,1.311475409836066,0.2760715025191525,-18.8585,92.56807545,52.32192455,56.52264487043519,15.51,6.447453255963894,134.0425531914894,10.84744680851064,8.092539682539682,62.5178,2.9606,-10.84744680851064,144.8042994735172,6,2020-04-23,0.4,上交所,可转债
113555.SH,振德转债,2020-07-28,562.37,570,622,563.66,615.7,53.33,9.483080534167897,223,0.304109589041,0.3524590163934426,0.07788016838091766,-25.9644,98.19561815,517.50438185,527.0137217930431,14.01,7.137758743754461,606.7094932191292,8.990506780870806,1.48184705882353,49.1879,12.6586,-8.990506780870806,617.8580110289058,6,2019-12-19,0.5,上交所,可转债
123053.SZ,宝通转债,2020-07-28,136,138,150,138,148,12,8.823529411764707,54,0.07397260274,1.426229508196721,0.3378378378378378,-3.4046,91.92782704,56.07217296,60.99586465325854,20.8,4.807692307692308,127.9807692307692,20.01923076923077,15.64237415477085,22.2934,3.8045,-20.01923076923077,139.2187473060597,6,2020-06-05,0.5,深交所,可转债
110060.SH,天路转债,2020-07-28,130.98,131.09,144.6,131.09,141.4,10.42,7.955413040158803,275,0.300273972603,5.251366120218579,0.2828854314002829,-3.8838,91.90925129,49.49074871,53.84740710577928,7.16,13.96648044692737,140.7821229050279,0.617877094972067,0.4388888888888889,-41.0996,2.5799,-0.617877094972067,153.1751384426145,6,2019-10-25,0.4,上交所,可转债
127003.SZ,海印转债,2020-07-28,125.081,125.7,135,125.699,134.8,9.719,7.770164933123336,51,0.251506849315,1.863013698630137,1.335311572700297,-9.6294,100.81844885,33.98155115,33.70568733958457,3,33.33333333333334,136,-1.2,-0.8823529411764706,95.8062,2.5964,1.2,134.8959456838539,6,2016-06-08,0.5,深交所,可转债
128102.SZ,海大转债,2020-07-28,163.002,165.89,177.88,165.384,173.3,10.298,6.317713893081066,132,0.072328767123,0.4043715846994536,0.08821506770269474,-7.2284,98.51918503,74.78081497,75.90482498127503,34.74,2.878526194588371,172.6827864133564,0.6172135866436385,0.3574262377062844,42.9322,9.6475,-0.6172135866436385,175.2783342257377,6,2020-03-19,0.2,深交所,可转债
128092.SZ,唐人转债,2020-07-28,133.7,134.362,141.903,131.017,141.49,7.79,5.826477187733732,212,0.231232876712,0.2076502732240437,0.2216843608635169,-3.7722,99.39365762,42.09634238,42.35314746232799,8.63,11.58748551564311,142.6419466975666,-1.151946697566628,-0.8075792038992688,11.9267,2.8885,1.151946697566628,143.5121215107232,6,2019-12-30,0.4,深交所,可转债
113534.SH,鼎胜转债,2020-07-28,114.7,115.99,123.78,115.61,120.89,6.19,5.396687009590235,111,0.182465753425,4.698630136986301,0.4963189676565473,-1.096,85.66553458,35.22446542,41.11859640250668,15.18,6.587615283267457,108.7615283267457,12.12847167325428,11.15143549364022,48.5223,1.9447,-12.12847167325428,126.9606602701781,6,2019-04-08,0.4,上交所,可转债
113572.SH,三祥转债,2020-07-28,124.17,125.02,133.47,125.02,130.29,6.12,4.928726745590723,139,0.152328767123,1.158469945355191,0.3070074449305396,-14.7335,91.16447334,39.12552666,42.91751515316767,14.19,7.047216349541931,132.6286116983791,-2.33861169837914,-1.763278427205101,43.2061,6.4448,2.33861169837914,145.4827816574311,6,2020-03-12,0.4,上交所,可转债
128117.SZ,道恩转债,2020-07-28,115.55,115.95,121.88,115.95,121.23,5.68,4.915620943314583,27,0.029589041096,5.928767123287671,0.3299513321785037,0.3188,84.2132418,37.0167582,43.95598294139058,29.32,3.410641200545703,112.9945429740791,8.235457025920873,7.288367038937519,11.5182,8.3029,-8.235457025920873,134.176693069758,6,2020-07-02,0.4,深交所,可转债
113547.SH,索发转债,2020-07-28,133.12,133.92,139.55,133.92,139.42,6.3,4.732572115384615,279,0.380821917808,0.1366120218579235,0.3213939403916153,-3.0266,99.8454405,39.5745595,39.63582042587112,10.52,9.505703422053232,140.3041825095057,-0.8841825095057034,-0.630189701897019,95.3156,2.0286,0.8841825095057034,140.5213716389039,6,2019-10-23,0.5,上交所,可转债
128043.SZ,东音转债,2020-07-28,219.717,218.512,232.491,218.512,230,10.283,4.680111233996459,362,0.593424657534,0.2677595628415301,0.2608695652173913,-16.1133,99.74498299,130.25501701,130.5880387217659,6.22,16.07717041800643,230.3858520900322,-0.3858520900321543,-0.1674808094905792,46.4496,5.4052,0.3858520900321543,230.9748773160146,6,2018-08-02,0.4,深交所,可转债
123030.SZ,九洲转债,2020-07-28,124.47,125,134,123.615,129.998,5.528,4.441230818671166,344,0.469863013699,1.133879781420765,0.3846213018661825,-11.4815,94.15825274,35.83974726,38.0633096059722,5.65,17.69911504424779,131.3274336283186,-1.329433628318584,-1.012304582210243,40.0939,1.2998,1.329433628318584,139.4752236863976,6,2019-08-20,0.5,深交所,可转债
113552.SH,克来转债,2020-07-28,205.05,208.95,215,205.01,213.54,8.49,4.140453547915143,240,0.327397260274,0.0273224043715847,0.1592975247851597,-10.6343,100.10561178,113.43438822,113.3147145329798,19.78,5.055611729019211,214.8634984833165,-1.323498483316481,-0.6159717647058823,92.9536,17.7813,1.323498483316481,214.6368167206425,6,2019-12-02,0.5,上交所,可转债
127015.SZ,希望转债,2020-07-28,156.88,157.5,164,156.59,163.37,6.49,4.136919938806732,208,0.113424657534,5.434426229508197,0.1224214972149109,-7.0819,90.22868903,73.14131097,81.06214526255764,19.63,5.094243504839532,163.6780438104941,-0.3080438104941416,-0.1882010582010582,21.4074,4.5428,0.3080438104941416,181.4035486607514,6,2020-01-03,0.2,深交所,可转债
128021.SZ,兄弟转债,2020-07-28,132.1,138.65,142.11,133.89,137.5,5.4,4.08781226343679,244,0.665753424658,3.336065573770492,0.7272727272727273,-6.6367,96.47113847,41.02886153,42.52967486515037,5.25,19.04761904761905,138.0952380952381,-0.5952380952380952,-0.4310344827586207,82.3663,3.0973,0.5952380952380952,143.1466864446532,6,2017-11-28,0.3,深交所,可转债
128114.SZ,正邦转债,2020-07-28,130.421,130.65,140.301,130.65,135.54,5.119,3.924981406368606,42,0.04602739726,3.510928961748634,0.2951158329644386,-2.7565,--,--,--,16.09,6.215040397762586,129.2728402734618,6.267159726538223,4.848009615384616,14.3759,5.0486,-6.267159726538223,--,6,2020-06-17,0.4,深交所,可转债
113581.SH,龙蟠转债,2020-07-28,212.37,214.04,226.99,212,220.6,8.23,3.875311955549277,97,0.132876712329,0.3715846994535519,0.1440653758740163,-9.0673,97.15865303,123.44134697,127.0513156783726,9.48,10.54852320675106,239.451476793249,-18.85147679324895,-7.872775330396475,69.0511,4.9724,18.85147679324895,246.4540926882886,6,2020-04-23,0.5,上交所,可转债
128108.SZ,蓝帆转债,2020-07-28,161.8,163.5,171.64,160.66,167.95,6.15,3.800988875154512,62,0.067945205479,5.832876712328767,0.2381661208693063,-6.6333,87.67581282,80.27418718,91.55796176626767,17.79,5.621135469364812,172.9623383923553,-5.012338392355256,-2.89793630159246,51.221,3.4207,5.012338392355256,197.2748615943259,6,2020-05-28,0.4,深交所,可转债
123017.SZ,寒锐转债,2020-07-28,133.671,140.01,145.5,136,138.72,5.049,3.777184280808851,252,0.343835616438,0.5765027322404371,0.3604382929642445,-5.1727,97.16846606,41.55153394,42.76236481323332,57.48,1.73973556019485,126.8267223382046,11.89327766179541,9.37758024691358,215.8222,10.5967,-11.89327766179541,130.522511552144,6,2018-11-20,0.3,深交所,可转债
128112.SZ,歌尔转2,2020-07-28,156.303,158.6,163,157.741,162.03,5.727,3.664037158595805,47,0.025753424658,0.5972602739726027,0.08927824121865087,-5.8112,97.72570701,64.30429299,65.80079587801796,23.27,4.297378599054577,159.6905887408681,2.339411259131929,1.464965016146394,77.2262,7.285,-2.339411259131929,163.4069413532382,6,2020-06-12,0.2,深交所,可转债
128084.SZ,木森转债,2020-07-28,127.31,129.55,132.78,128.5,131.886,4.576,3.594375932762548,226,0.246575342466,0.1229508196721312,0.2237401750095613,-2.1935,99.74941585,32.13658415,32.21731563654064,12.8,7.8125,132.5,-0.614,-0.4633962264150943,47.1339,2.1164,0.614,132.8328580883614,6,2019-12-13,0.4,深交所,可转债
128053.SZ,尚荣转债,2020-07-28,191,191,198.53,191,197.8,6.8,3.56020942408377,166,0.271232876712,4.549180327868853,0.3033367037411527,-11.4367,94.94921637,102.85078363,108.3218878070663,4.89,20.44989775051125,182.6175869120654,15.18241308793456,8.31377379619261,44.9421,2.5508,-15.18241308793456,192.331852640508,6,2019-02-14,0.4,深交所,可转债
