代码,名称,交易日期,前收盘价,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅(%),已计息天数,应计利息,剩余期限(年),当期收益率(%),纯债到期收益率(%),纯债价值,纯债溢价,纯债溢价率(%),转股价格,转股比例,转换价值,转股溢价,转股溢价率(%),转股市盈率,转股市净率,套利空间,平价/底价,期限(年),发行日期,票面利率/发行参考利率(%),交易市场,债券类型
113597.SH,佳力转债,2021-05-17,129.56,144.5,155.47,138,153.61,24.05,18.56282803334362,292,0.4,5.202739726027398,0.3254996419503939,-4.0411,89.5065038,64.1034962,71.61881369340225,23.4,4.273504273504273,63.07692307692308,90.53307692307692,143.5280487804878,35.9748,3.4443,-90.53307692307692,70.47188796231708,6,2020-07-30,0.5,上交所,可转债
123062.SZ,三超转债,2021-05-17,107.162,106.91,126.126,106.81,120,12.838,11.97999290793378,295,0.404109589041,1.331506849315069,0.4166666666666667,-0.0494,88.09167139,31.90832861,36.22173141514735,17.17,5.824111822947001,103.3197437390798,16.68025626092021,16.14430665163473,74.1949,3.1694,-16.68025626092021,117.2866198458898,6,2020-07-27,0.5,深交所,可转债
113527.SH,维格转债,2021-05-17,162.39,160.66,193,159.5,177.66,15.27,9.403288379826344,114,0.312328767123,3.690410958904109,0.5628729032984352,-10.3477,102.77868477,74.88131523,72.85685295309116,9.85,10.15228426395939,174.7208121827411,2.939187817258883,1.682219639744335,11.4714,2.2687,-2.939187817258883,169.9971278808777,6,2019-01-24,0.5,上交所,可转债
123018.SZ,溢利转债,2021-05-17,228,225,249.62,225,249,21,9.210526315789474,149,0.408219178082,3.594520547945205,0.4016064257028112,-19.7462,91.68527175,157.31472825,171.5812422729717,8.32,12.01923076923077,108.7740384615385,140.2259615384616,128.9149171270718,43.6879,1.4747,-140.2259615384616,118.6385080017374,6,2018-12-20,0.4,深交所,可转债
113016.SH,小康转债,2021-05-17,378.18,382,446,378.2,410.08,31.9,8.435136707388017,193,0.793150684932,2.10958904109589,0.3657822863831448,-41.7815,92.3778127,317.7021873,343.9161179662787,15.7,6.369426751592357,385.2866242038217,24.79337579617835,6.435047115225657,-36.668,16.6696,-24.79337579617835,417.0770155113465,6,2017-11-06,0.3,上交所,可转债
128095.SZ,恩捷转债,2021-05-17,195,196.099,214.9,196.099,210.355,15.355,7.874358974358974,96,0.157808219178,4.739726027397261,0.2852321076275819,-12.1613,93.96148286,116.39351714,123.8736486453956,64.92,1.540357362908195,210.520640788663,-0.1656407886629698,-0.07868149557327869,70.2307,10.5357,0.1656407886629698,224.0499344846791,6,2020-02-11,0.4,深交所,可转债
113543.SH,欧派转债,2021-05-17,208.67,209.99,232.95,208.69,224.02,15.35,7.356112522164183,275,0.452054794521,0.1534246575342466,0.2421505907618338,-14.776,99.88514972,124.13485028,124.2775834325495,71.69,1.394894685451249,224.2293206862882,-0.2093206862881852,-0.09335116640746499,99.3364,7.9904,0.2093206862881852,224.4871448006557,6,2019-08-16,0.4,上交所,可转债
128032.SZ,双环转债,2021-05-17,121.2,121.2,132.58,120.002,128.6,7.4,6.105610561056106,144,0.591780821918,0.2191780821917808,--,-6.1395,100.06043287,28.53956713,28.52233026722864,9.89,10.11122345803842,126.9969666329626,1.603033367037412,1.262261146496815,40.6897,2.4978,-1.603033367037412,126.9202650741667,6,2017-12-25,0.3,深交所,可转债
113545.SH,金能转债,2021-05-17,171.47,171.47,183.6,170.06,180.16,8.69,5.067941914037441,216,0.355068493151,4.410958904109589,0.3330373001776199,-9.8606,95.46402872,84.69597128,88.72029854136665,10.78,9.276437847866418,179.4063079777366,0.7536920222634508,0.4201034126163392,8.6629,1.9818,-0.7536920222634508,187.9307948588078,6,2019-10-11,0.4,上交所,可转债
113582.SH,火炬转债,2021-05-17,237.51,238.31,253,238.01,248.29,10.78,4.538756262894194,356,0.390136986301,5.027397260273973,0.1611019372507954,-14.3777,93.01886594,155.27113406,166.9243464655381,25.33,3.947887879984208,230.6356099486775,17.65439005132254,7.654667921944539,26.0143,6.6111,-17.65439005132254,247.9449815024024,6,2020-05-27,0.4,上交所,可转债
128017.SZ,金禾转债,2021-05-17,151.9,151.901,159.907,151.9,157.8,5.9,3.884134298880843,198,0.705205479452,2.46027397260274,0.8238276299112801,-14.2052,99.09780081,58.70219919,59.23663160048284,22.42,4.460303300624442,150.5798394290812,7.220160570918822,4.794905213270142,22.5213,3.7748,-7.220160570918822,151.9507377542995,6,2017-11-01,0.3,深交所,可转债
123058.SZ,欣旺转债,2021-05-17,124.148,124.905,136.108,124.891,128.74,4.592,3.698811096433289,308,0.337534246575,0.136986301369863,0.3038937989065791,-1.9895,99.78804465,28.95195535,29.01345091142639,21.24,4.708097928436912,103.8606403013183,24.87935969868173,23.95456029011786,67.5838,4.969,-24.87935969868173,104.0812460707118,6,2020-07-14,0.4,深交所,可转债
113041.SH,紫金转债,2021-05-17,161.42,162.7,167.83,161.21,167.06,5.64,3.493990831371577,196,0.107397260274,0.1150684931506849,0.07773435514104514,-9.372,99.72332362,67.33667638,67.52349794977681,7,14.28571428571429,163.5714285714286,3.488571428571428,2.132751091703057,29.0393,5.4307,-3.488571428571428,164.0252476890206,5,2020-11-03,0.2,上交所,可转债
110066.SH,盛屯转债,2021-05-17,156.94,157,164.66,154.56,162.12,5.18,3.300624442462087,77,0.126575342466,0.8356164383561644,0.3700962250185048,-7.0478,97.06033472,65.05966528,67.03012663997539,4.88,20.49180327868853,157.9918032786885,4.128196721311475,2.612918287937743,12.3715,1.8421,-4.128196721311475,162.7768992704011,6,2020-03-02,0.4,上交所,可转债
123046.SZ,天铁转债,2021-05-17,188.527,183,206,177.455,193.772,5.245,2.782094872352501,60,0.115068493151,2.397260273972603,0.3612493033049151,-9.9566,87.95823815,105.81376185,120.3000015411291,10.12,9.881422924901186,166.699604743083,27.072395256917,16.24022762299941,18.8834,3.5612,-27.072395256917,189.5213094864418,6,2020-03-19,0.5,深交所,可转债
123113.SZ,仙乐转债,2021-05-17,116.99,116.99,121.7,116.988,120.1,3.11,2.658346867253612,29,0.031780821918,5.923287671232877,0.3330557868442964,-0.2302,80.57182813,39.52817187,49.05954449267627,85.98,1.163061177017911,93.73110025587346,26.36889974412654,28.13249782851471,42.1493,4.3127,-26.36889974412654,116.3323489503569,6,2021-04-19,0.4,深交所,可转债
128103.SZ,同德转债,2021-05-17,168.155,170.39,174.4,163.889,172.3,4.145,2.464987660194463,53,0.087123287671,0.7917808219178082,0.3253325276874521,-7.1039,94.0063396,78.2936604,83.28551109759411,5.18,19.3050193050193,148.2625482625483,24.03745173745174,16.21276041666667,39.6201,2.3795,-24.03745173745174,157.71547843838,6,2020-03-26,0.5,深交所,可转债
123029.SZ,英科转债,2021-05-17,1741.1,1759.99,1848.86,1755.86,1782.2,41.1,2.360576646947332,275,0.602739726027,4.249315068493151,0.04488834025361912,-45.8654,116.02258223,1666.17741777,1436.080274844267,8.32,12.01923076923077,1787.259615384616,-5.059615384615385,-0.283093476798924,3.5133,4.0066,5.059615384615385,1540.441163291471,6,2019-08-16,0.5,深交所,可转债
127030.SZ,盛虹转债,2021-05-17,133.87,133.8,138.88,133.202,137.018,3.148,2.351535071337865,57,0.031232876712,5.846575342465753,0.1459662234159016,-3.3602,89.35590017,47.66209983,53.33962249758846,14.2,7.042253521126761,126.830985915493,10.18701408450704,8.031960022209883,36.1942,4.8,-10.18701408450704,141.939128445012,6,2021-03-22,0.2,深交所,可转债
113611.SH,福20转债,2021-05-17,134.51,135.2,145,134.03,137.6,3.09,2.297226971972344,168,0.115068493151,0.2,0.1194647977062791,-3.7175,99.2758092,38.3241908,38.60375564684896,73.69,1.357036232867418,121.5768761025919,16.02312389740806,13.1794173456859,34.8175,7.5321,-16.02312389740806,122.4637472938291,6,2020-12-01,0.25,上交所,可转债
128134.SZ,鸿路转债,2021-05-17,122.8,122.8,126,122.45,125.55,2.75,2.239413680781759,221,0.181643835616,5.397260273972603,0.2389486260454002,-1.6259,91.00346909,34.54653091,37.9617736064923,43.74,2.286236854138089,111.2025605852766,14.34743941472337,12.90207648026316,34.9499,4.3817,-14.34743941472337,122.1959576895912,6,2020-10-09,0.3,深交所,可转债
110044.SH,广电转债,2021-05-17,264.09,264,285,263.8,269.88,5.79,2.192434397364535,325,0.890410958904,3.112328767123288,0.3705350526159775,-24.9159,99.33901206,170.54098794,171.6757439031048,6.9,14.49275362318841,91.59420289855072,178.2857971014493,194.6474683544304,64.4708,1.1996,-178.2857971014493,92.20365795789124,6,2018-06-27,0.4,上交所,可转债
113550.SH,常汽转债,2021-05-17,153.5,153.9,163.8,153.51,156.62,3.12,2.03257328990228,181,0.396712328767,0.9232876712328767,0.5107904482186183,-5.633,95.50084108,61.11915892,63.99855564497192,9.65,10.36269430051813,154.0932642487047,2.526735751295337,1.639744451916611,12.3765,1.3887,-2.526735751295337,161.3527823484009,6,2019-11-18,0.5,上交所,可转债
123087.SZ,明电转债,2021-05-17,99.477,99.477,105.268,99.477,101.4,1.923,1.933110166169064,154,0.168767123288,5.580821917808219,0.3944773175542407,3.3193,84.64074077,16.75925923,19.80046379265638,16.62,6.016847172081829,88.32731648616125,13.07268351383875,14.80027247956403,58.8912,2.8956,-13.07268351383875,104.3555570079178,6,2020-12-15,0.4,深交所,可转债
123070.SZ,鹏辉转债,2021-05-17,109,109,112.5,109,111,2,1.834862385321101,210,0.172602739726,1.2,0.2702702702702703,0.683,95.47670878,15.52329122,16.25872049671212,20.16,4.960317460317461,86.06150793650794,24.93849206349206,28.97752161383285,33.2513,3.0796,-24.93849206349206,90.13874591636079,6,2020-10-20,0.3,深交所,可转债
128135.SZ,洽洽转债,2021-05-17,117,117.101,119.347,117.1,119.1,2.1,1.794871794871795,210,0.172602739726,5.427397260273972,0.2518891687657431,0.1726,94.90544482,24.19455518,25.49332678002615,60.83,1.643925694558606,89.90629623541015,29.19370376458984,32.47125617114646,35.084,6.4897,-29.19370376458984,94.73249549162185,6,2020-10-20,0.3,深交所,可转债
113623.SH,凤21转债,2021-05-17,116.9,116.6,120.18,116.6,118.88,1.98,1.693755346449957,40,0.032876712329,5.893150684931507,0.2523553162853298,-0.2599,90.04450645,28.83549355,32.02360109110244,16.6,6.024096385542169,110.7228915662651,8.15710843373494,7.367138193688792,12.9479,2.107,-8.15710843373494,122.9646270844378,6,2021-04-08,0.3,上交所,可转债
128094.SZ,星帅转债,2021-05-17,119,119,121.989,118.3,121,2,1.680672268907563,122,0.23397260274,0.7780821917808219,0.5785123966942148,0,94.39304301,26.60695699,28.1874131202458,13.95,7.168458781362007,119.5698924731183,1.430107526881721,1.196043165467626,16.8295,3.2578,-1.430107526881721,126.6723570511982,6,2020-01-16,0.5,深交所,可转债
113040.SH,星宇转债,2021-05-17,130.48,130.75,136.5,130.75,132.54,2.06,1.578786020846107,208,0.11397260274,0.2136986301369863,0.1178243425091595,-3.1686,99.32178833,33.21821167,33.44503983318481,158,0.6329113924050633,119.1708860759494,13.36911392405063,11.21843964097934,45.5167,8.5962,-13.36911392405063,119.9846358786856,6,2020-10-22,0.2,上交所,可转债
113559.SH,永创转债,2021-05-17,132.53,134,140,131.3,134.58,2.05,1.546819588017807,146,0.32,0.1150684931506849,0.3045497203883415,-2.8281,99.67094747,34.90905253,35.02430087815438,10.32,9.689922480620154,138.5658914728682,-3.985891472868217,-2.876531468531469,31.3342,4.3085,3.985891472868217,139.0233513277028,6,2019-12-23,0.6,上交所,可转债
123022.SZ,长信转债,2021-05-17,136.95,136.96,141.325,136.55,139,2.05,1.496896677619569,61,0.167123287671,3.835616438356164,0.7194244604316546,-5.056,97.64846101,41.35153899,42.34735351923802,6.15,16.26016260162602,127.1544715447155,11.84552845528455,9.315856777493606,20.7269,2.6587,-11.84552845528455,130.2165648383273,6,2019-03-15,0.4,深交所,可转债
113030.SH,东风转债,2021-05-17,112.12,112.45,116.94,111.94,113.76,1.64,1.462718515875847,145,0.238356164384,4.605479452054794,0.5274261603375527,0.6045,96.20012825,17.55987175,18.25348060281822,6.75,14.81481481481482,103.8518518518519,9.908148148148149,9.540656205420827,9.5076,2.0295,-9.908148148148149,107.9539640341923,6,2019-12-23,0.4,上交所,可转债
113047.SH,旗滨转债,2021-05-17,134.8,134.5,138.58,134.2,136.77,1.97,1.461424332344214,39,0.021369863014,5.895890410958904,0.1462308985888718,-3.0769,90.22609252,46.54390748,51.58586189431048,13.15,7.604562737642586,115.893536121673,20.87646387832699,18.0134842519685,11.6284,3.9398,-20.87646387832699,128.4479166555766,6,2021-04-09,0.2,上交所,可转债
123102.SZ,华自转债,2021-05-17,105,110.5,120.88,106.5,106.5,1.5,1.428571428571429,67,0.073424657534,0.5095890410958904,0.2593092803395681,3.1286,96.95058333,9.54941667,9.849777424748167,9.28,10.77586206896552,104.5258620689655,1.974137931034483,1.888659793814433,185.4957,1.4189,-1.974137931034483,107.813546323059,6,2021-03-12,0.4,深交所,可转债
110061.SH,川投转债,2021-05-17,126.96,126.96,130.25,126.34,128.75,1.79,1.409892879647133,188,0.257534246575,2.712328767123288,0.3883495145631068,-3.3528,94.03522627,34.71477373,36.91677587963122,9.58,10.4384133611691,124.9478079331942,3.802192066805846,3.043024227234754,20.3956,1.8309,-3.802192066805846,132.8734059451678,6,2019-11-08,0.2,上交所,可转债
123103.SZ,震安转债,2021-05-17,216,201.1,231.499,196.535,219,3,1.388888888888889,67,0.091780821918,5.819178082191781,0.228310502283105,-9.8098,74.12019271,144.87980729,195.4660423737045,79.87,1.25203455615375,154.3633404281958,64.63665957180419,41.87306350880039,150.3759,15.5886,-64.63665957180419,208.2608460452232,6,2021-03-12,0.5,深交所,可转债
113508.SH,新凤转债,2021-05-17,121.52,121.89,124.63,121.47,123.15,1.63,1.341342988808427,22,0.090410958904,0.2931506849315069,0.4271436437355014,-3.428,99.36197205,23.78802795,23.94077679741462,15.78,6.337135614702155,116.4765525982256,6.673447401774398,5.72943416757345,12.9479,2.107,-6.673447401774398,117.2244775291028,6,2018-04-26,0.3,上交所,可转债
123111.SZ,东财转3,2021-05-17,135.314,135,138.38,134.5,137.051,1.737,1.283680919934375,41,0.022465753425,0.7890410958904109,0.1311380634926125,-3.6252,97.05442072,39.99657928,41.2104662345977,28.08,3.561253561253561,122.2222222222222,14.82877777777778,12.13263636363636,38.6809,8.4245,-14.82877777777778,125.9316384720185,6,2021-04-07,0.2,深交所,可转债
113616.SH,韦尔转债,2021-05-17,145.86,145.02,150.48,145.02,147.66,1.8,1.234060057589469,141,0.077260273973,5.616438356164384,0.1354462955438169,-4.4866,91.98929417,55.67070583,60.51867919229628,222.83,0.4487726069200736,123.340663285913,24.31933671408697,19.71720928540242,57.3093,19.1774,-24.31933671408697,134.0815411171374,6,2020-12-28,0.2,上交所,可转债
113593.SH,沪工转债,2021-05-17,104.23,104.6,106.75,104.36,105.49,1.26,1.208865010073875,302,0.33095890411,5.175342465753425,0.3791828609346857,2.853,78.97127995,26.51872005,33.58020797787513,21.32,4.690431519699812,85.83489681050656,19.65510318949344,22.89873224043716,109.5545,4.4223,-19.65510318949344,108.6912822799025,6,2020-07-20,0.4,上交所,可转债
110056.SH,亨通转债,2021-05-17,101.16,101.18,103,101.18,102.29,1.13,1.117042309213128,60,0.164383561644,1.556164383561644,0.9776126698602013,2.9901,96.39130959,5.89869041,6.119525126372961,15.01,6.662225183211192,79.54696868754164,22.74303131245836,28.59069514237856,26.6952,1.4027,-22.74303131245836,82.525041962698,6,2019-03-18,0.3,上交所,可转债
123031.SZ,晶瑞转债,2021-05-17,263.483,260,281.9,254,266.4,2.917,1.107092298174835,262,0.358904109589,4.284931506849315,0.1876876876876877,-17.9255,81.28370727,185.11629273,227.7409568870911,10.13,9.871668311944719,208.2922013820336,58.10779861796644,27.89725118483412,77.8047,5.3954,-58.10779861796644,256.2533235475464,6,2019-08-29,0.4,深交所,可转债
113565.SH,宏辉转债,2021-05-17,107.5,108,117.3,108,108.67,1.17,1.088372093023256,81,0.177534246575,4.780821917808219,0.7361737370019324,1.739,87.16327339,21.50672661,24.67406944868985,7.64,13.0890052356021,100,8.67,8.67,48.373,3.2054,-8.67,114.7272195166006,6,2020-02-26,0.4,上交所,可转债
113605.SH,大参转债,2021-05-17,119.9,119.2,122.95,119.2,121.19,1.29,1.075896580483736,208,0.17095890411,5.432876712328767,0.2475451769948016,-0.946,90.95364567,30.23635433,33.24369694833806,83.71,1.194600406164138,87.241667662167,33.94833233783299,38.91297959742572,35.3096,8.9857,-33.94833233783299,95.9188243852249,6,2020-10-22,0.3,上交所,可转债
113045.SH,环旭转债,2021-05-17,109.89,110.09,111.44,110.02,111,1.11,1.01010101010101,75,0.020547945205,5.797260273972603,0.09009009009009009,0.1566,89.07736396,21.92263604,24.61078220707599,20.25,4.938271604938271,76.79012345679013,34.20987654320987,44.54983922829582,31.5913,2.7714,-34.20987654320987,86.20610224980676,6,2021-03-04,0.1,上交所,可转债
113599.SH,嘉友转债,2021-05-17,108.75,108.65,110.7,107.6,109.84,1.09,1.002298850574713,286,0.313424657534,1.191780821917808,0.3641660597232338,2.7209,93.48239457,16.35760543,17.49805993443114,24.82,4.029008863819501,98.71071716357775,11.12928283642224,11.27464489795918,15.9927,2.5037,-11.12928283642224,105.5928419651925,6,2020-08-05,0.4,上交所,可转债
110063.SH,鹰19转债,2021-05-17,119.72,119.86,120.99,119,120.89,1.17,0.977280320748413,156,0.213698630137,4.575342465753424,0.4135991397137894,-0.9339,97.71553783,23.17446217,23.71625095112062,3.3,30.30303030303031,115.7575757575758,5.132424242424243,4.433769633507853,9.3062,1.132,-5.132424242424243,118.4638373059608,6,2019-12-13,0.3,上交所,可转债
113622.SH,杭叉转债,2021-05-17,115.4,115.91,116.67,115.22,116.52,1.12,0.9705372616984402,54,0.029589041096,1.852054794520548,0.1716443529007896,-0.6063,93.39430648,23.12569352,24.76135258304239,23.48,4.258943781942079,82.5809199318569,33.9390800681431,41.09796802475503,19.0287,3.2717,-33.9390800681431,88.421792552784,6,2021-03-25,0.2,上交所,可转债
128124.SZ,科华转债,2021-05-17,105.598,106.555,113.45,106.3,106.6,1.002,0.9488816076062047,294,0.241643835616,5.197260273972603,0.2814258911819887,0.6703,71.2989663,35.3010337,49.51128400861543,21.51,4.649000464900047,88.28451882845188,18.31548117154812,20.74597156398104,7.1381,2.9326,-18.31548117154812,123.8229997009815,6,2020-07-28,0.3,深交所,可转债
127031.SZ,洋丰转债,2021-05-17,113.1,113.2,115.102,113.011,114.142,1.042,0.9213085764809903,54,0.044383561644,5.854794520547945,0.2628305093655272,0.4454,90.20127736,23.94072264,26.54144524411866,19.94,5.015045135406218,72.16649949849548,41.97550050150451,58.16480055594163,13.773,2.5841,-41.97550050150451,80.00607265291114,6,2021-03-25,0.3,深交所,可转债
127022.SZ,恒逸转债,2021-05-17,124.85,124.86,127.32,124.855,126,1.15,0.92110532639167,214,0.117260273973,5.416438356164384,0.1587301587301587,-2.6929,88.36067122,37.63932878,42.59737761190809,11.5,8.695652173913043,112.1739130434783,13.82608695652174,12.32558139534884,9.7905,1.9157,-13.82608695652174,126.9500463211604,6,2020-10-16,0.2,深交所,可转债
128046.SZ,利尔转债,2021-05-17,129.323,129.953,131.126,128.7,130.5,1.177,0.9101242625055095,213,0.583561643836,1.468493150684932,0.7662835249042146,-4.3809,96.63675125,33.86324875,35.04179135988908,18.42,5.428881650380022,124.9185667752443,5.5814332247557,4.468057366362451,13.6697,3.0997,-5.5814332247557,129.2661075206047,6,2018-10-16,0.4,深交所,可转债
128078.SZ,太极转债,2021-05-17,110,110,111.55,110,110.991,0.991,0.9009090909090909,209,0.343561643836,1.928767123287671,0.540584371705814,1.2019,94.27712988,16.71387012,17.72844606244816,22.4,4.464285714285714,86.25,24.741,28.68521739130435,141.9451,3.3405,-24.741,91.48560219194488,6,2019-10-21,0.4,深交所,可转债
110051.SH,中天转债,2021-05-17,115.96,116.13,117.37,115.96,116.99,1.03,0.8882373232149017,79,0.216438356164,0.5863013698630137,0.6838191298401572,-0.8583,98.63710179,18.35289821,18.60648567014228,9.99,10.01001001001001,102.1021021021021,14.8878978978979,14.58138235294118,15.8774,1.339,-14.8878978978979,103.5128772533069,6,2019-02-27,0.4,上交所,可转债
123094.SZ,星源转2,2021-05-17,119.1,118.887,123.011,118.803,120.151,1.051,0.8824517212426533,118,0.129315068493,0.3095890410958904,0.2097816868112209,-0.4297,98.86649217,21.28450783,21.52853546518217,31.53,3.171582619727244,94.86203615604187,25.28896384395814,26.65867703109328,54.2908,4.4402,-25.28896384395814,95.94963275618952,6,2021-01-20,0.4,深交所,可转债
123079.SZ,运达转债,2021-05-17,115.201,115.002,116.979,115,116.2,0.999,0.8671799723960729,168,0.138082191781,0.3150684931506849,0.1994671445075818,-0.1745,98.83460256,17.36539744,17.57015963053821,15.31,6.531678641410843,101.1103853690399,15.08961463096016,14.92390180878553,26.1927,2.695,-15.08961463096016,102.3026174539006,6,2020-12-01,0.3,深交所,可转债
123033.SZ,金力转债,2021-05-17,119.11,119.055,121.2,118.85,120.12,1.01,0.8479556712282764,198,0.542465753425,0.2904109589041096,0.6910897321856228,0.264,98.97112298,21.14887702,21.36873502412794,25.3,3.952569169960474,96.48221343873517,23.63778656126482,24.49963129864809,41.5699,8.0353,-23.63778656126482,97.48521642846492,6,2019-11-01,0.4,深交所,可转债
127017.SZ,万青转债,2021-05-17,117.9,118.499,119.111,118.01,118.895,0.995,0.8439355385920272,349,0.382465753425,5.046575342465753,0.336431304932924,-0.0843,97.89376978,21.00123022,21.45308150579631,14.16,7.062146892655367,100,18.895,18.895,8.6907,1.7202,-18.895,102.1515467477996,6,2020-06-03,0.4,深交所,可转债
128093.SZ,百川转债,2021-05-17,126.65,125.481,133.872,124.699,127.7,1.05,0.8290564547966838,135,0.295890410959,0.7917808219178082,0.6264682850430697,0.365,96.19010251,31.50989749,32.75794148023099,5.87,17.03577512776831,128.2793867120954,-0.5793867120954003,-0.4516600265604249,26.7672,2.8912,0.5793867120954003,133.3602765406757,6,2020-01-03,0.5,深交所,可转债
113614.SH,健20转债,2021-05-17,127.3,127.4,129.94,127.4,128.35,1.05,0.8248232521602514,152,0.124931506849,0.5808219178082191,0.2324551339178496,-2.1064,97.72485759,30.62514241,31.33812948440031,38.04,2.628811777076761,117.0609884332282,11.28901156677182,9.643700875814059,38.1079,10.3983,-11.28901156677182,119.7862972841076,6,2020-12-17,0.3,上交所,可转债
113615.SH,金诚转债,2021-05-17,127,125.51,128.39,125.51,128.01,1.01,0.7952755905511811,146,0.16,5.602739726027397,0.3124755878446996,-1.5758,91.72939619,36.28060381,39.5517743677846,12.73,7.855459544383346,124.9018067556952,3.108193244304792,2.488509433962264,18.5951,1.9983,-3.108193244304792,136.1633368838326,6,2020-12-23,0.4,上交所,可转债
123024.SZ,岱勒转债,2021-05-17,104.005,103.61,109.464,103.61,104.82,0.815,0.7836161722994087,58,0.158904109589,0.8465753424657534,0.9540164090822362,2.5463,94.29405187,10.52594813,11.16289725730714,18.33,5.455537370430988,83.03327877795962,21.78672122204037,26.23854139290408,-51.419,2.5883,-21.78672122204037,88.05781184632386,5,2019-03-21,0.4,深交所,可转债
128136.SZ,立讯转债,2021-05-17,112.736,112.8,116.6,112.8,113.602,0.866,0.768166335509509,196,0.053698630137,5.465753424657534,0.0880266192496611,-0.279,90.46912732,23.13287268,25.56990806175934,58.36,1.713502398903358,59.59561343385881,54.0063865661412,90.62141230592295,45.3297,8.469,-54.0063865661412,65.87397844909245,6,2020-11-03,0.1,深交所,可转债
123104.SZ,卫宁转债,2021-05-17,118.1,118.1,119.16,117.87,119,0.9,0.7620660457239627,63,0.051780821918,5.83013698630137,0.2521008403361345,0.8749,96.55159388,22.44840612,23.25016627679932,17.76,5.63063063063063,86.09234234234235,32.90765765765766,38.22367560497057,571.4436,7.1657,-32.90765765765766,89.16718915002373,6,2021-03-16,0.3,深交所,可转债
123075.SZ,贝斯转债,2021-05-17,103.37,103.37,104.15,102.8,104.15,0.78,0.754570958692077,197,0.215890410959,2.197260273972603,0.3840614498319731,1.9513,88.15343045,15.99656955,18.1462813963583,23.99,4.168403501458942,78.40766986244269,25.74233013755731,32.83139287612972,15.6324,1.9983,-25.74233013755731,88.94454754873658,6,2020-11-02,0.4,深交所,可转债
113588.SH,润达转债,2021-05-17,105.95,105.5,106.95,105.5,106.74,0.79,0.7456347333647947,335,0.275342465753,5.084931506849316,0.2810567734682406,1.3656,91.81467244,14.92532756,16.25592856060512,13.36,7.485029940119761,87.7994011976048,18.94059880239521,21.57258312020461,18.5069,2.1345,-18.94059880239521,95.62676516107037,6,2020-06-17,0.3,上交所,可转债
127015.SZ,希望转债,2021-05-17,109.2,109.2,110.3,109,110,0.8,0.7326007326007326,135,0.147945205479,4.632876712328767,0.3636363636363637,0,93.57169327,16.42830673,17.55691935871708,19.75,5.063291139240507,80.30379746835443,29.69620253164557,36.97982345523329,130.6038,1.9246,-29.69620253164557,85.82060948350991,6,2020-01-03,0.2,深交所,可转债
113043.SH,财通转债,2021-05-17,106.78,106.6,107.74,106.6,107.55,0.77,0.721108821876756,159,0.087123287671,5.567123287671233,0.1859600185960019,0.4443,89.94830687,17.60169313,19.56867643483193,13.33,7.501875468867217,80.94523630907727,26.60476369092273,32.86760889712697,21.6688,1.692,-26.60476369092273,89.99083932292952,6,2020-12-10,0.2,上交所,可转债
127020.SZ,中金转债,2021-05-17,112,112,113.24,111.72,112.8,0.8,0.7142857142857143,302,0.165479452055,5.175342465753425,0.1773049645390071,0.1558,93.27737944,19.52262056,20.92964090244172,4.71,21.23142250530785,104.2462845010616,8.553715498938429,8.205295315682282,17.0749,1.4672,-8.553715498938429,111.7594481394251,6,2020-07-20,0.2,深交所,可转债
110076.SH,华海转债,2021-05-17,108.07,108.02,108.94,107.81,108.79,0.72,0.6662348477838438,197,0.161917808219,5.463013698630137,0.2757606397646842,1.0568,90.64366157,18.14633843,20.01942343865534,34.66,2.885170225043278,59.20369301788806,49.58630698211194,83.75542884990253,29.2533,4.5767,-49.58630698211194,65.31476331874316,6,2020-11-02,0.3,上交所,可转债
128035.SZ,大族转债,2021-05-17,108.583,109,110.11,108.983,109.277,0.694,0.6391424071908126,101,0.221369863014,2.726027397260274,0.7320845191577368,-0.6405,97.79127668,11.48572332,11.74514098796813,51.9,1.926782273603083,68.88246628131022,40.39453371868979,58.64269370629371,28.8833,3.7488,-40.39453371868979,70.43825238800453,6,2018-02-06,0.2,深交所,可转债
128128.SZ,齐翔转2,2021-05-17,129.499,129.999,134.89,129.994,130.319,0.82,0.6332095228534583,271,0.222739726027,5.260273972602739,0.2302043447233327,-2.3445,91.82451289,38.49448711,41.921798328638,8.22,12.1654501216545,130.4136253041363,-0.094625304136253,-0.07255783582089549,7.743,1.9936,0.094625304136253,142.0248484850266,6,2020-08-20,0.3,深交所,可转债
128117.SZ,道恩转债,2021-05-17,100.17,100.401,101.75,100.401,100.8,0.63,0.6289308176100629,320,0.350684931507,5.126027397260274,0.3968253968253968,4.1292,89.20858645,11.59141355,12.9936074668068,29.03,3.444712366517396,63.21047192559421,37.58952807440578,59.46724795640327,26.6805,3.7519,-37.58952807440578,70.85693702928774,6,2020-07-02,0.4,深交所,可转债
